m.z,r.t,p.value,t.score,mode
477.0708,3.213,0.169,-1.481414488,negative
265.0679,5.615,0.171,-1.473400019,positive
311.1494,0.538,0.173,-1.467404017,positive
296.149,3.657,0.174,1.461929314,positive
201.0516,7.993,0.174,1.464103784,negative
243.1347,2.554,0.174,1.464986052,negative
239.1389,7.307,0.175,-1.459796529,positive
212.129,0.833,0.175,-1.459584781,negative
231.0295,2.581,0.175,-1.460458006,negative
233.0122,3.76,0.175,1.459026444,negative
433.2361,4.762,0.176,1.455079596,positive
258.0611,5.695,0.176,1.45522808,negative
311.0929,2.301,0.176,-1.456515438,negative
715.3355,0.55,0.176,-1.454854999,negative
444.222,3.766,0.177,-1.452274531,positive
279.068,2.262,0.177,-1.453526724,negative
301.0518,2.391,0.177,-1.452088098,negative
471.0947,4.944,0.177,1.453857334,negative
495.1962,0.514,0.177,-1.453426385,negative
557.0606,3.819,0.177,-1.45350568,negative
131.118,4.745,0.178,1.449692852,positive
332.2422,0.515,0.178,1.448537931,positive
224.002,2.41,0.178,-1.449266084,negative
327.0325,4.016,0.178,-1.449315817,negative
622.1488,5.921,0.178,-1.447819065,negative
337.1424,2.92,0.179,1.444548269,positive
201.1243,5.193,0.179,1.444611894,negative
302.1962,0.515,0.181,1.437263797,positive
179.0561,5.436,0.181,1.436684032,negative
527.2131,0.53,0.181,1.439509737,negative
189.1232,6.685,0.182,1.432890468,positive
220.1182,0.536,0.182,-1.433568989,positive
189.113,0.89,0.182,-1.433996946,negative
446.1811,3.871,0.182,-1.433601876,negative
257.1498,0.514,0.183,1.430109986,positive
253.1078,0.791,0.183,-1.432164991,negative
350.1596,1.276,0.186,1.419532621,positive
316.1207,2.075,0.186,-1.421277615,negative
193.1319,7.203,0.189,1.407890076,positive
376.3184,0.456,0.189,1.41077249,positive
561.1384,2.255,0.189,-1.408210674,negative
157.0503,0.513,0.19,-1.405087345,negative
508.0596,3.862,0.19,1.407653127,negative
245.0432,5.704,0.191,-1.402883404,negative
399.1089,4.124,0.191,1.403777753,negative
243.134,0.517,0.192,1.398165125,positive
345.0646,0.556,0.192,1.398380806,negative
367.1156,5.688,0.192,1.399341508,negative
190.9655,2.079,0.193,1.394561425,negative
99.0451,0.903,0.193,1.395603755,negative
229.155,5.116,0.194,1.391499755,positive
218.9815,1.043,0.194,-1.392286173,negative
525.1638,0.564,0.194,-1.392982458,negative
434.2183,5.437,0.196,-1.38451259,positive
382.1907,4.683,0.198,-1.378005069,positive
165.0488,5.706,0.199,-1.376548677,negative
461.1267,0.535,0.199,-1.376239667,negative
203.1513,6.974,0.2,1.372600453,positive
342.2272,1.198,0.2,1.371339383,positive
450.2117,6.308,0.2,-1.37168441,positive
245.0465,2.156,0.2,1.371422901,negative
275.0227,3.422,0.2,-1.370871156,negative
217.1656,3.908,0.201,-1.368657039,positive
530.1863,6.452,0.201,-1.367378662,positive
144.102,5.362,0.202,1.364161347,positive
426.1944,0.561,0.202,1.364706372,positive
162.0227,0.513,0.202,-1.366284195,negative
453.0666,5.135,0.203,-1.363042938,negative
449.2389,7.195,0.204,1.359827052,positive
645.4286,1.239,0.204,-1.357854517,positive
301.9973,2.602,0.204,-1.358710271,negative
331.12,2.389,0.204,-1.358816751,negative
405.1033,6.178,0.204,-1.359009081,negative
293.1706,8.464,0.205,-1.355718845,positive
237.1241,0.892,0.205,-1.355260021,negative
347.0747,6.014,0.206,1.353641234,negative
