mz_rt,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size,,,,
179.056_6.344,179.056,6.344,42843.0715,Cluster_179.056_6.344,179.056_6.344;367.105_6.328,2,,,,
179.0561_5.436,179.0561,5.436,198684.93,Cluster_179.0561_5.436,179.0561_5.436;179.0651_5.437,2,,,,
179.0562_5.704,179.0562,5.704,592870.18,Cluster_179.0562_5.704,179.0562_5.704;179.0563_5.704,2,,,,
179.0563_5.704,179.0563,5.704,592870.18,Cluster_179.0562_5.704,179.0562_5.704;179.0563_5.704,2,,,,
179.0636_0.527,179.0636,0.527,8118.97075,179.0636_0.527,179.0636_0.527,1,,,,
179.0644_5.704,179.0644,5.704,32301.5255,179.0644_5.704,179.0644_5.704,1,,,,
179.0651_5.437,179.0651,5.437,14605.867,Cluster_179.0561_5.436,179.0561_5.436;179.0651_5.437,2,,,,
179.0709_0.842,179.0709,0.842,14615.877,179.0709_0.842,179.0709_0.842,1,,,,
179.1075_0.837,179.1075,0.837,59574.6735,179.1075_0.837,179.1075_0.837,1,,,,
181.0368_3.602,181.0368,3.602,597470.55,Cluster_181.0368_3.602,181.0368_3.602;363.0798_3.605,2,,,,
181.0504_3.057,181.0504,3.057,13217.149,Cluster_181.0504_3.057,181.0504_3.057;401.1043_3.041,2,,,,
181.0504_0.867,181.0504,0.867,25203.211,181.0504_0.867,181.0504_0.867,1,,,,
181.0504_0.995,181.0504,0.995,18052.455,181.0504_0.995,181.0504_0.995,1,,,,
181.0505_0.887,181.0505,0.887,27709.6805,181.0505_0.887,181.0505_0.887,1,,,,
181.0505_2.24,181.0505,2.24,214014.91,181.0505_2.24,181.0505_2.24,1,,,,
181.0718_5.323,181.0718,5.323,349640.345,Cluster_181.0718_5.323,181.0718_5.323;227.0771_5.322,2,,,,
181.0805_5.323,181.0805,5.323,23188.813,181.0805_5.323,181.0805_5.323,1,,,,
181.9916_3.013,181.9916,3.013,8800.7295,Cluster_181.9916_3.013,181.9916_3.013;182.9946_3.02,2,,,,
182.0272_5.423,182.0272,5.423,502.86505,Cluster_182.0272_5.423,182.0272_5.423;269.0598_5.416,2,,,,
182.028_4.092,182.028,4.092,1699.148,Cluster_182.028_4.092,182.028_4.092;313.0673_4.097,2,,,,
