m.z,r.t,p.value,t.score,mode
395.0857,2.735,0.276,-1.152495459,negative
395.0857,2.92,0.466,-0.757939689,negative
395.091,3.521,0.511,-0.682181891,negative
395.1144,4.677,0.639,-0.483974125,negative
396.025,0.663,0.563,0.598712323,negative
396.0904,2.751,0.823,-0.229705756,negative
396.1124,4.459,0.266,-1.17796777,negative
396.1279,4.011,0.659,0.455062913,negative
396.1297,3.506,0.227,1.287108662,negative
397.0032,3.133,0.764,0.308533403,negative
397.0034,3.815,0.704,0.390377772,negative
397.0582,0.701,0.63,0.497140089,negative
397.1496,4.415,0.628,-0.499769597,negative
397.1911,4.067,0.286,-1.126880155,negative
398.0412,0.681,0.733,-0.350335938,negative
399.0203,0.683,0.383,0.911992764,negative
399.1658,3.513,0.452,-0.783041528,negative
400.1429,4.669,0.395,0.888728788,negative
401.1094,4.24,0.259,-1.197026272,negative
403.066,3.865,0.659,-0.455096769,negative
403.1019,5.042,0.188,1.413682109,negative
403.1133,4.514,0.0985,-1.821456159,negative
403.1971,3.26,0.478,-0.736904374,negative
403.197,0.807,0.307,-1.077305027,negative
404.0395,3.379,0.769,-0.302135875,negative
404.0405,3.511,0.851,-0.193288881,negative
405.0285,0.72,0.412,-0.855979879,negative
405.0469,0.697,0.0289,-2.549860314,negative
405.0648,0.668,0.657,-0.458318987,negative
405.118,5.456,0.243,-1.24203468,negative
405.1764,4.467,0.465,-0.76040823,negative
405.2644,6.291,0.76,-0.313309618,negative
407.0405,4.991,0.123,-1.682678771,negative
407.2799,5.411,0.952,-0.061282484,negative
407.2799,5.805,0.306,-1.079895193,negative
407.2801,6.791,0.518,-0.669966568,negative
409.0428,0.71,0.205,-1.356431653,negative
411.0759,4.059,0.822,-0.230631155,negative
411.0787,0.764,0.914,-0.110761225,negative
411.1279,4.49,0.44,-0.803619466,negative
411.1654,4.559,0.145,-1.581587309,negative
411.2021,4.884,0.269,-1.171077417,negative
411.2021,5.398,0.356,-0.968648159,negative
412.9977,3.204,0.733,-0.350227578,negative
413.1426,4.219,0.023,-2.683601424,negative
413.1426,4.51,0.0234,-2.673485208,negative
413.1436,3.2,0.0494,-2.235339825,negative
413.144,3.692,0.0762,-1.97709144,negative
413.1993,5.357,0.629,0.498875957,negative
415.1607,0.797,0.0676,-2.04898182,negative
